Year,week,0
2013,0,42.12910532276331
2013,1,84.59796149490374
2013,2,72.81993204983013
2013,3,49.150622876557186
2013,4,63.306908267270664
2013,5,77.23669309173273
2013,6,48.58437146092866
2013,7,99.88674971687429
2013,8,55.71913929784825
2013,9,55.83238958097395
2013,10,56.39864099660249
2013,11,64.89241223103058
2013,12,45.30011325028313
2013,13,48.58437146092866
2013,14,34.7678369195923
2013,15,100.0
2013,16,46.998867497168746
2013,17,48.69762174405436
2013,18,88.56172140430351
2013,19,37.48584371460929
2013,20,38.618346545866366
2013,21,35.78708946772367
2013,22,42.0158550396376
2013,23,34.20158550396376
2013,24,45.186862967157424
2013,25,45.30011325028313
2013,26,41.562853907134766
2013,27,50.28312570781427
2013,28,40.43035107587769
2013,29,37.712344280860705
2013,30,28.312570781426956
2013,31,39.52434881087203
2013,32,35.107587768969424
2013,33,35.90033975084938
2013,34,60.13590033975085
2013,35,31.936579841449607
2013,36,54.586636466591166
2013,37,43.94110985277464
2013,38,35.334088335220834
2013,39,43.14835787089468
2013,40,40.543601359003404
2013,41,64.77916194790487
2013,42,47.45186862967158
2013,43,35.107587768969424
2013,44,29.10532276330691
2013,45,51.18912797281994
2013,46,36.806342015855044
2013,47,36.12684031710079
2013,48,36.57984144960363
2013,49,46.54586636466591
2013,50,30.91732729331823
2013,51,31.25707814269536
2013,52,17.553793884484712
2014,0,22.378716744913927
2014,1,73.86541471048514
2014,2,100.0
2014,3,45.22691705790297
2014,4,30.51643192488263
2014,5,25.978090766823158
2014,6,30.829420970266042
2014,7,28.482003129890455
2014,8,37.245696400625974
2014,9,42.72300469483568
2014,10,25.508607198748045
2014,11,35.2112676056338
2014,12,76.99530516431925
2014,13,53.677621283255085
2014,14,81.37715179968701
2014,15,52.895148669796555
2014,16,40.84507042253521
2014,17,29.890453834115803
2014,18,28.012519561815335
2014,19,35.2112676056338
2014,20,51.4866979655712
2014,21,34.74178403755869
2014,22,32.70735524256651
2014,23,31.142410015649453
2014,24,34.89827856025039
2014,25,52.58215962441315
2014,26,36.77621283255086
2014,27,33.95931142410015
2014,28,44.13145539906103
2014,29,41.62754303599374
2014,30,49.60876369327073
2014,31,43.50547730829421
2014,32,47.26134585289515
2014,33,28.012519561815335
2014,34,32.237871674491394
2014,35,39.123630672926446
2014,36,20.97026604068858
2014,37,38.65414710485133
2014,38,31.142410015649453
2014,39,24.88262910798122
2014,40,20.344287949921753
2014,41,22.22222222222222
2014,42,23.78716744913928
2014,43,30.51643192488263
2014,44,30.985915492957744
2014,45,38.810641627543035
2014,46,20.81377151799687
2014,47,58.05946791862284
2014,48,69.95305164319248
2014,49,39.280125195618155
2014,50,21.5962441314554
2014,51,26.917057902973397
2014,52,12.363067292644757
2015,0,10.609480812641083
2015,1,49.2099322799097
2015,2,54.627539503386004
2015,3,36.11738148984199
2015,4,73.58916478555305
2015,5,52.144469525959366
2015,6,59.36794582392777
2015,7,27.088036117381492
2015,8,69.0744920993228
2015,9,84.19864559819413
2015,10,47.85553047404063
2015,11,27.76523702031603
2015,12,34.988713318284425
2015,13,40.40632054176072
2015,14,65.23702031602708
2015,15,41.309255079006775
2015,16,37.246049661399546
2015,17,32.27990970654628
2015,18,52.82167042889391
2015,19,34.988713318284425
2015,20,34.5372460496614
2015,21,71.55756207674942
2015,22,24.37923250564334
2015,23,39.27765237020316
2015,24,80.58690744920992
2015,25,49.887133182844245
2015,26,38.60045146726862
2015,27,100.0
2015,28,33.408577878103834
2015,29,31.15124153498871
2015,30,50.79006772009029
2015,31,36.11738148984199
2015,32,31.82844243792325
2015,33,44.01805869074492
2015,34,21.218961625282166
2015,35,66.59142212189616
2015,36,54.176072234762984
2015,37,70.20316027088035
2015,38,30.474040632054173
2015,39,36.794582392776526
2015,40,38.3747178329571
2015,41,70.42889390519187
2015,42,61.8510158013544
2015,43,32.7313769751693
2015,44,45.372460496613996
2015,45,69.75169300225733
2015,46,35.44018058690745
2015,47,35.44018058690745
2015,48,78.3295711060948
2015,49,44.92099322799097
2015,50,41.309255079006775
2015,51,27.313769751693002
2015,52,20.993227990970652
2016,0,2.873563218390805
2016,1,46.74329501915709
2016,2,41.7624521072797
2016,3,37.73946360153257
2016,4,50.574712643678154
2016,5,34.099616858237546
2016,6,37.35632183908046
2016,7,21.072796934865902
2016,8,26.436781609195403
2016,9,32.18390804597701
2016,10,70.3065134099617
2016,11,22.98850574712644
2016,12,58.23754789272031
2016,13,47.89272030651341
2016,14,52.29885057471264
2016,15,64.9425287356322
2016,16,57.08812260536399
2016,17,99.42528735632185
2016,18,31.226053639846747
2016,19,24.13793103448276
2016,20,36.59003831417625
2016,21,25.478927203065137
2016,22,80.07662835249042
2016,23,100.0
2016,24,96.74329501915709
2016,25,65.32567049808429
2016,26,23.75478927203065
2016,27,34.48275862068966
2016,28,14.367816091954024
2016,29,26.81992337164751
2016,30,28.160919540229884
2016,31,28.73563218390805
2016,32,46.74329501915709
2016,33,37.931034482758626
2016,34,20.306513409961685
2016,35,27.394636015325673
2016,36,22.03065134099617
2016,37,31.800766283524908
2016,38,44.44444444444444
2016,39,44.25287356321839
2016,40,34.674329501915715
2016,41,28.73563218390805
2016,42,55.55555555555556
2016,43,49.42528735632184
2016,44,32.37547892720307
2016,45,23.946360153256705
2016,46,26.053639846743298
2016,47,21.64750957854406
2016,48,35.82375478927203
2016,49,50.0
2016,50,69.73180076628354
2016,51,31.03448275862069
2016,52,30.45977011494253
2017,1,92.46575342465754
2017,2,98.97260273972603
2017,3,55.47945205479452
2017,4,76.02739726027397
2017,5,79.7945205479452
2017,6,65.06849315068493
2017,7,36.3013698630137
2017,8,46.23287671232877
2017,9,38.35616438356165
2017,10,60.95890410958904
2017,11,41.43835616438356
2017,12,89.04109589041096
2017,13,38.35616438356165
2017,14,95.2054794520548
2017,15,33.90410958904109
2017,16,69.86301369863013
2017,17,65.75342465753424
2017,18,51.02739726027398
2017,19,52.73972602739726
2017,20,42.12328767123288
2017,21,49.31506849315068
2017,22,47.26027397260274
2017,23,38.013698630136986
2017,24,55.47945205479452
2017,25,65.06849315068493
2017,26,75.68493150684932
2017,27,44.52054794520548
2017,28,72.26027397260275
2017,29,50.0
2017,30,34.24657534246575
2017,31,22.945205479452056
2017,32,45.89041095890411
2017,33,48.28767123287671
2017,34,26.027397260273972
2017,35,54.45205479452054
2017,36,42.80821917808219
2017,37,52.73972602739726
2017,38,100.0
2017,39,33.56164383561644
2017,40,46.917808219178085
2017,41,80.47945205479452
2017,42,85.61643835616438
2017,43,73.97260273972603
2017,44,54.794520547945204
2017,45,79.7945205479452
2017,46,82.53424657534246
2017,47,47.94520547945205
2017,48,62.32876712328766
2017,49,65.75342465753424
2017,50,60.273972602739725
2017,51,73.2876712328767
2017,52,42.80821917808219
2017,53,4.794520547945206
2018,0,57.01357466063348
2018,1,53.16742081447964
2018,2,45.47511312217195
2018,3,23.30316742081448
2018,4,30.99547511312217
2018,5,39.59276018099548
2018,6,39.14027149321267
2018,7,54.29864253393665
2018,8,54.977375565610856
2018,9,40.04524886877828
2018,10,61.53846153846153
2018,11,27.60180995475113
2018,12,50.2262443438914
2018,13,34.61538461538461
2018,14,36.87782805429865
2018,15,39.59276018099548
2018,16,47.28506787330317
2018,17,40.723981900452486
2018,18,35.29411764705882
2018,19,43.665158371040725
2018,20,30.769230769230766
2018,21,23.529411764705884
2018,22,36.87782805429865
2018,23,48.41628959276017
2018,24,37.10407239819005
2018,25,54.751131221719454
2018,26,31.674208144796378
2018,27,38.46153846153846
2018,28,69.90950226244344
2018,29,45.02262443438914
2018,30,26.244343891402718
2018,31,33.2579185520362
2018,32,37.55656108597285
2018,33,54.07239819004525
2018,34,67.87330316742081
2018,35,100.0
2018,36,69.68325791855203
2018,37,58.144796380090504
2018,38,44.11764705882353
2018,39,43.89140271493213
2018,40,64.25339366515837
2018,41,37.55656108597285
2018,42,55.42986425339366
2018,43,62.66968325791855
